6548,E - Papago - Hole In The Rock,6/2019,104
6992,N - Lookout Mountain - 306 - North Side TH,6/2019,104
14888,"South Mountain-Pima Dirt Rd. ",6/2020,104
5625,South Mountain-Mormon Trail,6/2020,104
8612,E - Papago - Hole In The Rock,6/2020,104
9081,N - Lookout Mountain - 306 - North Side TH,6/2020,104
25529,E - PMP - Piestewa Summit Trail,6/2020,104
28050,N - North Mountain - 44-Tower Road,6/2020,104
22357,E - PMP - Piestewa Summit Trail,6/2021,108
6082,N - Lookout Mountain - 306 - North Side TH,6/2021,108
18315,E - Papago - Hole In The Rock,6/2021,108
17174,N - North Mountain - 44-Tower Road,6/2021,108
10378,"South Mountain-Pima Dirt Rd. ",6/2021,108
3650,South Mountain-Mormon Trail,6/2021,108
14773,E - Camelback - Echo Canyon Trail,6/2021,108
10504,N - North Mountain - 44-Tower Road,6/2022,106
5107,N - Lookout Mountain - 306 - North Side TH,6/2022,106
10284,"South Mountain-Pima Dirt Rd. ",6/2022,106
13898,E - Papago - Hole In The Rock,6/2022,106
2315,South Mountain-Mormon Trail,6/2022,106
10975,E - Camelback - Echo Canyon Trail,6/2022,106
18410,E - PMP - Piestewa Summit Trail,6/2022,106
8495,E - PMP - Piestewa Summit Trail,7/2019,108
7745,"South Mountain-Pima Dirt Rd. ",7/2019,108
4530,E - Camelback - Echo Canyon Trail,7/2019,108
5272,E - Papago - Hole In The Rock,7/2019,108
2343,South Mountain-Mormon Trail,7/2019,108
5209,N - Lookout Mountain - 306 - North Side TH,7/2019,108
10867,"South Mountain-Pima Dirt Rd. ",7/2020,109
21653,E - PMP - Piestewa Summit Trail,7/2020,109
26966,N - North Mountain - 44-Tower Road,7/2020,109
4717,South Mountain-Mormon Trail,7/2020,109
6107,E - Papago - Hole In The Rock,7/2020,109
8853,N - Lookout Mountain - 306 - North Side TH,7/2020,109
9025,"South Mountain-Pima Dirt Rd. ",7/2021,103
17316,E - Papago - Hole In The Rock,7/2021,103
11589,E - Camelback - Echo Canyon Trail,7/2021,103
2296,South Mountain-Mormon Trail,7/2021,103
4799,N - Lookout Mountain - 306 - North Side TH,7/2021,103
8686,N - North Mountain - 44-Tower Road,7/2021,103
19613,E - PMP - Piestewa Summit Trail,7/2021,103
1968,South Mountain-Mormon Trail,7/2022,107
8745,E - Camelback - Echo Canyon Trail,7/2022,107
10859,N - North Mountain - 44-Tower Road,7/2022,107
16671,E - PMP - Piestewa Summit Trail,7/2022,107
14326,E - Papago - Hole In The Rock,7/2022,107
4126,N - Lookout Mountain - 306 - North Side TH,7/2022,107
5369,"South Mountain-Pima Dirt Rd. ",7/2022,107
3101,E - Papago - Hole In The Rock,8/2019,108
5664,N - Lookout Mountain - 306 - North Side TH,8/2019,108
400,South Mountain-Mormon Trail,8/2019,108
5047,E - Camelback - Echo Canyon Trail,8/2019,108
7794,"South Mountain-Pima Dirt Rd. ",8/2019,108
16978,E - PMP - Piestewa Summit Trail,8/2019,108
502,E - Camelback - Echo Canyon Trail,8/2020,110
8242,N - Lookout Mountain - 306 - North Side TH,8/2020,110
25297,N - North Mountain - 44-Tower Road,8/2020,110
4091,South Mountain-Mormon Trail,8/2020,110
27458,E - PMP - Piestewa Summit Trail,8/2020,110
5766,E - Papago - Hole In The Rock,8/2020,110
10817,"South Mountain-Pima Dirt Rd. ",8/2020,110
12755,N - North Mountain - 44-Tower Road,8/2021,103
19935,E - PMP - Piestewa Summit Trail,8/2021,103
16593,E - Papago - Hole In The Rock,8/2021,103
11383,E - Camelback - Echo Canyon Trail,8/2021,103
2499,South Mountain-Mormon Trail,8/2021,103
5596,N - Lookout Mountain - 306 - North Side TH,8/2021,103
9163,"South Mountain-Pima Dirt Rd. ",8/2021,103
10218,E - Camelback - Echo Canyon Trail,8/2022,103
8741,"South Mountain-Pima Dirt Rd. ",8/2022,103
14591,E - Papago - Hole In The Rock,8/2022,103
19487,E - PMP - Piestewa Summit Trail,8/2022,103
3339,N - Lookout Mountain - 306 - North Side TH,8/2022,103
7613,N - North Mountain - 44-Tower Road,8/2022,103
2183,South Mountain-Mormon Trail,8/2022,103
21919,E - PMP - Piestewa Summit Trail,9/2019,99
8420,N - Lookout Mountain - 306 - North Side TH,9/2019,99
2335,South Mountain-Mormon Trail,9/2019,99
6306,E - Papago - Hole In The Rock,9/2019,99
10522,E - Camelback - Echo Canyon Trail,9/2019,99
8788,"South Mountain-Pima Dirt Rd. ",9/2019,99
4708,South Mountain-Mormon Trail,9/2020,104
16794,E - Camelback - Echo Canyon Trail,9/2020,104
15717,"South Mountain-Pima Dirt Rd. ",9/2020,104
7398,E - Papago - Hole In The Rock,9/2020,104
30619,E - PMP - Piestewa Summit Trail,9/2020,104
9371,N - Lookout Mountain - 306 - North Side TH,9/2020,104
27423,N - North Mountain - 44-Tower Road,9/2020,104
6450,N - Lookout Mountain - 306 - North Side TH,9/2021,100
18363,E - Papago - Hole In The Rock,9/2021,100
2526,South Mountain-Mormon Trail,9/2021,100
11875,"South Mountain-Pima Dirt Rd. ",9/2021,100
14766,E - Camelback - Echo Canyon Trail,9/2021,100
22088,E - PMP - Piestewa Summit Trail,9/2021,100
15052,N - North Mountain - 44-Tower Road,9/2021,100
10594,N - North Mountain - 44-Tower Road,9/2022,101
22555,E - PMP - Piestewa Summit Trail,9/2022,101
16713,E - Papago - Hole In The Rock,9/2022,101
5603,N - Lookout Mountain - 306 - North Side TH,9/2022,101
10853,"South Mountain-Pima Dirt Rd. ",9/2022,101
7644,E - Camelback - Echo Canyon Trail,9/2022,101
2332,South Mountain-Mormon Trail,9/2022,101
